Sort Order,Investment_ID,Investment_Name,Program_Form_Set_ID,Program_Form_Set_Name,Agency_ID,Agency_Name,Program_ID,Program_Name,Impact_Area_ID,Impact_Area,Outcome_Type_ID,Outcome_Type_Name,Standard_Outcome_ID,Strategy_ID,Strategy_Name,Outcome_Indicator_Type_ID,Outcome_Indicator_Type_Name,Standard_Outcome_Indicator_ID,Outcome_Indicator_ID,Outcome_Indicator_Name,Form_Status,Form_Section_ID,Form_Section_Header,Unique Count July 2019,Unique Count August 2019,Unique Count September 2019,Annual Target 2019 (if applicable)
1,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21618,933977,# & % of participating clients completing program (How Well) SIFIC 1A,Submitted,135360,How Well,0,0,0,500
2,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21616,933976,# & % of participating clients meeting program dosage requirements (How Well) SIFIC 1A,Submitted,135360,How Well,0,0,0,600
3,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21628,933982,# & % of participating clients with income above 200% Federal Poverty Level 3 months after program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,
4,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21626,933981,# & % of participating clients with income above 200% Federal Poverty Level 6 months after program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,
5,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21624,933980,# & % of participating clients with income above 200% Federal Poverty Level at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,
6,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21622,933979,# & % of participating clients with income increase at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,
7,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14845,Is anyone BETTER OFF?,21620,933978,# & % of participating clients with increased educational attainment at the time of program completion (Better Off) SIFIC 1A,Submitted,135358,Better Off,0,0,0,500
8,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14844,How WELL did we do it?,21615,933975,# & % of recruited people who were enrolled in program (How Well) SIFIC 1A,Submitted,135360,How Well,0,0,0,53200
9,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21614,933974,# of people under 200% Federal Poverty Level enrolled in program (How Much) SIFIC 1A,Submitted,135352,How Much,0,0,0,1500
10,15799,Impact Councils - Impact Council Reporting - Strong Individuals and Families Impact Council,24360,Indicator 1,29951,Agency A,73221,Agency A Program 1,2532,Strong Individuals and Families,12977,Strategy,11852,631711,Provide and/or build capacity for organizations that offer education and workforce development to clients at or below 200% of FPL. (Indicator 1),14843,How MUCH did we do?,21613,933973,# of people under 200% Federal Poverty Level recruited for program (How Much) SIFIC 1A,Submitted,135352,How Much,0,0,0,53200
